,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
103,Bubikon,47.2562,8.7991,Gärten Armin Hollenstein,47.25379,8.797168,Construction & Landscaping
104,Brütten,47.4732,8.6757,Volg Brütten,47.472504,8.675042,Grocery Store
105,Brütten,47.4732,8.6757,Tennis Club Brütten,47.475897,8.677784,Tennis Court
106,Brütten,47.4732,8.6757,Ristorante & Pizzeria d'Antonio,47.470179711813174,8.67289569081458,Italian Restaurant
107,Wangen-Brüttisellen,47.4217,8.6326,Restaurant Rössli,47.422325078013635,8.628912585045896,Swiss Restaurant
108,Wangen-Brüttisellen,47.4217,8.6326,Flamingo,47.41996232635059,8.626519930575967,Australian Restaurant
109,Wangen-Brüttisellen,47.4217,8.6326,Bäckerei Hotz,47.42282058056338,8.629410234577017,Bakery
110,Wangen-Brüttisellen,47.4217,8.6326,Im Freihof,47.42370827152069,8.63041966313694,Shopping Mall
111,Wangen-Brüttisellen,47.4217,8.6326,Brüttisellen Zentrum,47.423918669933784,8.63083837957267,Bus Station
112,Wangen-Brüttisellen,47.4217,8.6326,Restaurant LaTavola,47.41996060019384,8.629879901670693,Italian Restaurant
113,Wangen-Brüttisellen,47.4217,8.6326,Denner Brüttisellen,47.423792256863216,8.630267180997592,Discount Store
114,Wangen-Brüttisellen,47.4217,8.6326,Arrow ECS Internet Security AG,47.41937438007313,8.627829639928033,IT Services
115,Wangen-Brüttisellen,47.4217,8.6326,Pizzeria Gabbiano,47.41758396072311,8.631289202064263,Pizza Place
116,Wil (ZH),47.6045,8.5081,Schreinerei Kramer,47.602926,8.503045,Construction & Landscaping
117,Affoltern am Albis,47.2883,8.4312,Volg Zwillikon,47.28735411135742,8.431614615343628,Food & Drink Shop
118,Affoltern am Albis,47.2883,8.4312,Restaurant Pizzeria Zwillike,47.286996,8.434837,Pizza Place
119,Affoltern am Albis,47.2883,8.4312,Restaurant 66,47.28625881840879,8.436094172586452,Restaurant
120,Aeugst am Albis,47.2754,8.4897,Äugsterberg,47.27475021291179,8.48534845547525,Mountain
121,Wila,47.4193,8.8452,Bahnhof Wila,47.416678049753706,8.847935835695424,Train Station
122,Wila,47.4193,8.8452,Häberlin GmbH,47.422315,8.846864,Home Service
123,Wila,47.4193,8.8452,dreispitz,47.417125,8.849297,Café
124,Wila,47.4193,8.8452,Ganz genau GmbH,47.41783,8.85024,Construction & Landscaping
125,Wila,47.4193,8.8452,Wiedmer Schleiferei,47.417829,8.850258,Business Service
126,Wila,47.4193,8.8452,Maler Graf AG,47.423305,8.843802,Construction & Landscaping
127,Wila,47.4193,8.8452,Gerüstbau Graf AG,47.42354,8.8437699,Construction & Landscaping
128,Bachs,47.5239,8.4394,Eichhof Bachs,47.521918,8.43597,Swiss Restaurant
129,Buch am Irchel,47.55,8.6333,Bosshard Söhne AG,47.55183,8.63228,Construction & Landscaping
130,Wädenswil,47.1757,8.6665,Restaurant Krone,47.17608739916388,8.664782815718922,Swiss Restaurant
131,Wädenswil,47.1757,8.6665,Krone,47.176329,8.670003,Restaurant
132,Geroldswil,47.4117,8.4156,Blumenprinz,47.4122927874423,8.415110011607188,Flower Shop
133,Geroldswil,47.4117,8.4156,Restaurant Föhrewäldli,47.410087,8.41672,Restaurant
134,Geroldswil,47.4117,8.4156,Föhrenwäldli,47.41094066449052,8.419214271545126,Food
135,Geroldswil,47.4117,8.4156,Sportanlage Dornau,47.41002411413422,8.411772825817195,Soccer Field
136,Wald (ZH),47.276,8.914,Bleiche Beiz,47.27571747095443,8.910195982828208,Restaurant
137,Wald (ZH),47.276,8.914,Coop,47.27319789245028,8.914596437153172,Supermarket
138,Wald (ZH),47.276,8.914,Voland Bäckerei Wald,47.27725302870422,8.91547991484326,Bakery
139,Wald (ZH),47.276,8.914,Shell,47.27373656,8.91188127,Gas Station
140,Oberembrach,47.4878,8.6183,Restaurant Mühle,47.487241,8.620049,Restaurant
141,Nürensdorf,47.4481,8.6491,Gasthof zum Bären,47.44710036022085,8.64874005317688,Swiss Restaurant
142,Nürensdorf,47.4481,8.6491,Hockey Bros,47.44623720725101,8.644062424346581,Sporting Goods Shop
143,Nürensdorf,47.4481,8.6491,Sportanlage Nürensdorf,47.45226379996812,8.647658331155217,Soccer Field
144,Nürensdorf,47.4481,8.6491,Cleantec AG,47.4518,8.65275,Home Service
145,Niederweningen,47.5061,8.3771,Kafi Wano,47.505485766192116,8.376177644706827,Café
146,Niederweningen,47.5061,8.3771,Restaurant Gasthof zum Löwen,47.507438,8.37959,Thai Restaurant
147,Niederweningen,47.5061,8.3771,Bahnhof Niederweningen-Dorf,47.50597669360676,8.380744443554786,Train Station
148,Niederweningen,47.5061,8.3771,Sportplatz Huebwies,47.505203,8.382451,Soccer Field
149,Niederhasli,47.4657,8.4988,Kornfeld,47.46809426013813,8.500648995615975,Swiss Restaurant
